0:0:0:0:0:0:0:1 - - [13/Nov/2018:22:08:44 -0200] "GET /Projeto/css/img/icons/close2.png HTTP/1.1" 200 15446
0:0:0:0:0:0:0:1 - - [13/Nov/2018:22:08:55 -0200] "GET /Projeto/index.jsp HTTP/1.1" 200 10674
0:0:0:0:0:0:0:1 - - [13/Nov/2018:22:08:55 -0200] "GET /Projeto/css/boot/fotorama.png HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [13/Nov/2018:22:08:58 -0200] "GET /Projeto/sobre.jsp HTTP/1.1" 200 7776
0:0:0:0:0:0:0:1 - - [13/Nov/2018:22:08:58 -0200] "GET /Projeto/css/img/sobre/1.jpg HTTP/1.1" 200 588527
0:0:0:0:0:0:0:1 - - [13/Nov/2018:22:08:58 -0200] "GET /Projeto/css/img/sobre/3.jpg HTTP/1.1" 200 529858
0:0:0:0:0:0:0:1 - - [13/Nov/2018:22:08:58 -0200] "GET /Projeto/css/img/sobre/2.jpg HTTP/1.1" 200 702433
0:0:0:0:0:0:0:1 - - [13/Nov/2018:22:09:01 -0200] "GET /Projeto/planos.jsp HTTP/1.1" 200 9809
0:0:0:0:0:0:0:1 - - [13/Nov/2018:22:09:01 -0200] "GET /Projeto/css/img/planos/O699PC0.jpg HTTP/1.1" 200 1244663
0:0:0:0:0:0:0:1 - - [13/Nov/2018:22:09:27 -0200] "GET /Projeto/index.jsp HTTP/1.1" 200 10674
0:0:0:0:0:0:0:1 - - [13/Nov/2018:22:09:27 -0200] "GET /Projeto/css/boot/fotorama.png HTTP/1.1" 404 1009
